,,,,"Start Date.... 07/01/2021
End Date...... 06/30/2022
Bill-To.......... 100016, 100023, 100045, 100051, 100106, 100116, 100127, 100197, 100225, 100253, 100258, 100262, 100322, 100327, 100343, 100365, 100454, 100548, 100632, 100713, 100751, 100775, 100790, 100794, 100796, 100837, 100932, 100965, 100970, 101025",,,,,,,
300025 - District Usage by Item,,,,,,,,,,,
,,,,,,,,,,,
Item No ,Zone,Mfg. Item No.,Description,,Brand,,Pack Size,UOM,Quantity,Total Amt Invoiced,Avg Price
 ALHAMBRA SCHOOL DISTRICT (100023),,,,,,,,,,,
100268,FROZEN,339682/08251,VEGETABLE SOUP,,CAMPBELL'S,,3/4LB,CS,3,$120.63,$40.21
100298,FROZEN,14894,SOUP CHICKEN TORTILLA,,CAMPBELL'S,,3/4LB,CS,6,$309.72,$51.62
203217,DRY,21910,CHEETOS PUFFS RF WG,,CHEETOS,,72/.7OZ,CS,15,$353.40,$23.56
202529,DRY,43578,FANTASTIX FLAMIN' HOT WG,,CHEETOS,,104/1OZ,CS,28,$944.72,$33.74
200726,DRY,36098,CHILI CHEESE FANTASTIX WG,,CHEETOS,,104/1OZ,CS,13,$446.16,$34.32
208586,DRY,62984,OVEN BAKED CRUNCHY FLAMIN WG,,CHEETOS,,104/.875OZ,CS,126,"$4,257.04",$33.79
139790,FROZEN,COMEG-0500,ROLL EGG CHICKEN WG,,CHEFS CORNER,,96/2.5OZ,CS,28,"$1,701.84",$60.78
410011,DRY,9118/FP01-114,APPLESAUCE CUP STRAWBERRY,,CHERRY CENTRAL,,96/4.5OZ,CS,8,$232.00,$29.00
410014,DRY,02136,CHERRY SNACK,,CHERRY CENTRAL,,100/1.36OZ,CS,6,$364.38,$60.73
410013,DRY,9701/FP01-153,APPLESAUCE CUP BIRTHDAY CAKE,,CHERRY CENTRAL,,96/4.5OZ,CS,13,$377.00,$29.00
409980,DRY,9116,APPLESAUCE CUP UNSWEETEND,,CHERRY CENTRAL,,96/4.5OZ,CS,10,$281.30,$28.13
